filename,band_id,x_center,median_l,median_a,median_b,median_c,delta_chroma,std_l,label_id
1295.bmp,2,78,49.57,10.12,29.8,31.47,20.81,1.53,3
1296.bmp,0,12,49.42,-3.88,17.34,17.77,7.75,2.01,10
1296.bmp,1,52,43.33,1.48,16.27,16.33,6.32,2.12,1
1296.bmp,2,65,66.64,0.53,-4.21,4.24,14.57,1.5,9
1296.bmp,3,77,48.86,11.98,32.03,34.2,25.11,0.52,3
1297.bmp,0,13,45.65,-4.66,21.12,21.63,11.79,2.52,10
1297.bmp,1,51,46.71,-0.32,11.53,11.54,2.39,4.31,1
1297.bmp,2,63,57.78,1.2,-2.78,3.03,12.82,1.67,9
1297.bmp,3,76,45.06,9.99,34.25,35.68,27.27,0.76,3
1298.bmp,0,11,42.96,-4.09,15.72,16.24,8.36,2.74,10
1298.bmp,1,48,45.6,-0.69,16.68,16.69,8.58,4.03,1
1298.bmp,2,61,57.61,0.41,-0.93,1.01,9.09,2.22,9
1298.bmp,3,72,44.97,11.57,30.59,32.7,25.58,1.2,3
1299.bmp,0,12,42.76,-3.95,18.62,19.03,11.87,3.88,10
1299.bmp,1,51,44.24,0.45,12.62,12.63,5.33,4.81,1
1299.bmp,2,64,54.06,1.09,-1.8,2.11,9.23,2.83,9
1299.bmp,3,78,45.43,8.31,24.7,26.06,19.36,2.21,3
1300.bmp,0,11,38.98,-4.59,17.44,18.03,7.27,3.49,10
1300.bmp,1,51,47.54,-1.63,11.28,11.4,0.45,4.61,1
1300.bmp,2,64,55.54,0.03,0.02,0.03,11,2.71,9
1300.bmp,3,77,46.56,10.27,29.81,31.53,22.19,1.79,3
1301.bmp,0,13,39.36,-4.46,19.26,19.77,9.57,3.13,10
1301.bmp,1,53,44.85,-0.52,15.3,15.31,5.09,3.77,1
1301.bmp,2,64,55.94,0.22,-0.53,0.57,10.88,2.83,9
1301.bmp,3,80,46.09,7.52,28.09,29.07,19.86,1.85,3
1302.bmp,0,13,27.94,10.52,-0.75,10.54,8.94,1.47,1
1302.bmp,1,30,31.21,25.81,3.42,26.04,24.47,2.77,2
1302.bmp,2,49,31.29,25.78,1.36,25.82,23.74,2.99,2
1302.bmp,3,71,45.07,0.45,-0.55,0.71,5.9,4.83,10
1303.bmp,0,12,29.3,11.23,-2.59,11.52,8.92,1.57,1
1303.bmp,1,28,32.89,34.48,0.46,34.49,32.38,0.91,2
1303.bmp,2,48,32.83,28.43,-2.56,28.54,26.06,11.3,2
1303.bmp,3,68,51.37,2.33,-1.48,2.76,2.46,2.1,10
1304.bmp,0,17,45.63,-6.14,26.02,26.73,27.48,1.3,4
1304.bmp,1,37,20.36,15.42,-16.7,22.73,21.62,3.31,7
1304.bmp,2,55,15.94,6.62,-0.73,6.67,5.51,3.22,1
1304.bmp,3,76,34.14,0.66,4.5,4.55,5.01,4.23,10
1305.bmp,0,10,28.64,9.3,-3.06,9.79,7.39,0.91,1
1305.bmp,1,29,30.29,24.36,-2.42,24.48,22.47,4.61,2
1305.bmp,2,47,29.74,23.3,-4.45,23.72,21.39,4.37,2
1306.bmp,0,6,39.34,4.06,2.73,4.9,3.95,2.64,1
1306.bmp,1,21,45.44,6.75,8.72,11.03,7.33,2.17,3
1306.bmp,2,35,47.63,-9.34,4.2,10.25,9.98,2.44,5
1306.bmp,3,73,49.1,-2.3,9.06,9.35,5.26,3.1,10
1307.bmp,0,17,45.87,8.28,16.66,18.6,13.49,2.53,3
1307.bmp,1,34,61.72,-0.02,-6.05,6.05,15.31,4.15,9
1307.bmp,2,46,39.34,-0.98,10.69,10.73,2.5,2.55,1
1307.bmp,3,89,48.89,-6.31,14.05,15.4,6.13,2.72,10
1308.bmp,0,18,48.14,4.59,18.8,19.35,11.92,2.92,3
1308.bmp,1,34,60.75,0.67,-6.67,6.71,16.52,3.41,9
1309.bmp,0,18,43.81,2.25,21.38,21.49,11.49,2.99,3
1309.bmp,1,37,59.82,-0.78,-4.27,4.34,15.78,5.35,9
1309.bmp,2,92,50.21,-7.59,18.89,20.36,8.71,4.48,10
1311.bmp,0,15,36.47,-2.11,18.73,18.85,8.09,2.84,10
1311.bmp,1,42,47.22,12.27,26.7,29.39,8.84,1.96,3
1311.bmp,2,58,15.36,-0.64,0.53,0.83,24.18,3.45,0
1311.bmp,3,73,35.7,27.95,25.75,38.01,24.25,2.06,2
1312.bmp,0,15,45.74,-2.31,24.55,24.66,9.21,2.44,10
1312.bmp,1,43,45.3,13.17,35.91,38.25,10.02,3.6,3
1312.bmp,2,57,23.73,-10.05,2.25,10.3,31.38,6.71,5
1312.bmp,3,77,19.83,9.27,16.66,19.06,13.46,1.45,1
1313.bmp,0,27,22.17,9.44,19.67,21.82,12,2.41,1
1313.bmp,1,44,29.34,-17.11,13.41,21.74,15.3,2.4,5
1313.bmp,2,61,35.58,15.12,27.12,31.06,20.33,1.65,3
1313.bmp,3,80,31.5,-2.42,16.55,16.72,0.41,3.62,10
1314.bmp,0,19,38.05,-0.77,17.7,17.72,1.06,3.34,10
1314.bmp,1,41,33.4,28.67,34.64,44.97,33.54,1.71,3
1314.bmp,2,57,26.28,6.75,-33.3,33.97,52.61,2.43,6
1314.bmp,3,74,38.05,28.73,37.83,47.5,35.21,3.66,3
1315.bmp,0,18,48.15,5.34,32.64,33.08,1.1,6.36,10
1315.bmp,1,42,38.68,44.8,44.97,63.47,42.39,2.69,2
1315.bmp,2,61,29.99,19.36,36.06,40.93,15.47,2.69,1
1315.bmp,3,79,34.04,-21.56,18.06,28.13,29.51,4.73,5
1316.bmp,0,22,57.12,5.64,40.86,41.25,3.05,7.82,10
1316.bmp,1,40,45.54,44.98,45.05,63.66,39.91,4.23,2
1316.bmp,2,60,70.32,-0.8,68.44,68.44,31.32,5.03,4
1316.bmp,3,82,51.2,43.7,46.3,63.67,38.91,3,2
1317.bmp,0,12,37.99,18.47,-11.38,21.69,53.32,2.05,7
1317.bmp,1,29,51.72,-18.89,19.77,27.34,38.31,1.35,5
1317.bmp,2,47,29.74,18.16,27.59,33.03,15.1,2.45,1
1317.bmp,3,78,45.7,6.17,40.78,41.25,6.45,4.42,10
1318.bmp,0,14,24.46,24.34,34,41.82,16.75,3.47,1
1318.bmp,1,36,3.75,8.16,5.75,9.98,32.44,5.58,0
1318.bmp,2,56,36.4,40.28,44.03,59.68,32.68,3.54,2
1318.bmp,3,81,41.2,5.08,32.73,33.13,6.25,3.54,10
1319.bmp,0,19,50.6,5.91,36.55,37.02,0.93,5.12,10
1319.bmp,1,44,40.93,43.41,45.25,62.7,39.02,3.59,2
1319.bmp,2,63,42.22,37.98,44.17,58.26,33.5,4.03,2
1319.bmp,3,84,39.15,18.61,36.89,41.32,13.09,3.11,1
1320.bmp,0,11,35.55,35.14,26.66,44.11,63.38,1.48,2
1320.bmp,1,30,31.71,31.02,23.02,38.62,57.96,1.6,2
1320.bmp,2,47,0.8,0.89,1.22,1.51,24.45,0.7,0
1320.bmp,3,61,1.09,0.25,1.22,1.24,24.31,2.36,0
1320.bmp,4,80,20.26,7.38,18.11,19.55,42.45,6.98,1
1321.bmp,0,11,39.25,3.38,13.22,13.64,25.94,3.58,8
1321.bmp,1,29,37.89,39.72,47.14,61.64,31.23,3.01,2
1321.bmp,2,47,41.61,38,49.16,62.13,30.24,3.27,2
1321.bmp,3,76,39.05,3.52,41.03,41.18,6.78,4.19,10
1322.bmp,0,14,52.26,4.31,35.48,35.75,9.36,3.68,10
1322.bmp,1,39,30.34,20.41,35.95,41.34,14.73,1.44,1
1322.bmp,2,63,34.3,12.88,-15.91,20.46,60.14,2.14,7
1322.bmp,3,84,44.18,38.2,41.44,56.36,30.21,2.03,2
1323.bmp,0,11,63.28,-1.91,2.16,2.88,12.05,4.08,9
1323.bmp,1,31,13.82,15.37,19.33,24.69,15.78,4.19,1
1323.bmp,2,52,21.13,35.66,30.05,46.63,38.64,5.24,2
1323.bmp,3,70,25.43,3.47,23.66,23.92,10.14,6.31,10
1324.bmp,0,15,53.27,16.31,2.77,16.55,49.6,1.16,7
1324.bmp,1,33,35.59,-16.27,26.31,30.93,34.31,12.49,5
1324.bmp,2,58,44.46,43.86,55.27,70.55,37.01,2.17,2
1325.bmp,0,12,46.94,1.79,30.48,30.54,10.55,3.74,10
1325.bmp,1,42,66.8,-3.86,67.97,68.08,30.52,2.93,4
1325.bmp,2,62,10.63,6.48,9.55,11.55,29.99,2.69,0
1325.bmp,3,85,39.95,43.41,46.75,63.79,36.9,1.9,2
1326.bmp,0,17,26.52,14.95,32.14,35.45,12.69,1.65,1
1326.bmp,1,36,53.38,-1.22,14.78,14.83,24.31,1.24,8
1326.bmp,2,57,31.34,18.53,39.75,43.86,14.6,1.57,1
1326.bmp,3,83,46.04,3.34,33.23,33.4,5.34,7.02,10
1327.bmp,0,9,33.96,4.03,24.55,24.88,3.22,3.5,10
1327.bmp,1,29,41.08,26.36,48.03,54.79,35.43,2.74,3
1327.bmp,2,52,64.89,2.02,6.33,6.64,15.27,3.21,9
1327.bmp,3,72,43.65,26.97,50.61,57.35,37.78,3.6,3
1328.bmp,0,11,21.28,22.55,30.28,37.75,17.13,2.14,1
1328.bmp,1,33,1.87,6.27,2.95,6.93,28.42,4.42,0
1328.bmp,2,54,34.36,42.7,41.95,59.86,38.73,2.36,2
1328.bmp,3,75,42.82,4.11,28.84,29.14,2.85,5.28,10
1329.bmp,0,32,34.66,34.41,37.81,51.12,31.4,1.3,2
1329.bmp,1,53,4.03,4.23,6.16,7.47,24.34,8.5,0
1329.bmp,2,75,23.47,20.98,31.25,37.64,17.13,1.59,1
1330.bmp,0,12,50.7,-8.42,36.42,37.38,29.87,3.45,5
1330.bmp,1,32,35.58,26.75,45.98,53.2,14.66,4.3,1
1330.bmp,2,52,30.28,14.81,37.61,40.42,17.25,12.97,0
1330.bmp,3,76,60.14,10.95,49.84,51.03,6.49,10.23,10
1331.bmp,0,14,58.16,4.97,39.45,39.76,7.22,4.78,10
1331.bmp,1,37,38.89,15.95,32.27,35.99,11.27,2.84,1
1331.bmp,2,59,54.49,-10.33,23.27,25.46,29.14,1.96,5
1331.bmp,3,78,47.89,16.52,-15.06,22.35,57.88,3.59,7
1332.bmp,0,19,44.04,7.19,43.5,44.09,7.5,5.51,10
1332.bmp,1,49,34.19,20.69,41.45,46.33,14.81,7.32,1
1332.bmp,2,69,48.19,39.94,54.78,67.79,31.05,2,2
1332.bmp,3,88,49.98,42.48,58.56,72.35,34.24,2.53,2
1333.bmp,0,13,37.15,4.2,32.2,32.48,1.39,1.94,10
1333.bmp,1,42,50.1,24.34,56.94,61.92,32.75,2.39,3
1333.bmp,2,62,29.13,24.06,34.52,42.08,21.37,1.67,1
1333.bmp,3,83,32.87,-24.73,19.91,31.75,30.19,1.8,5
1334.bmp,0,12,41.36,9.73,-30.5,32.02,47.68,2.64,7
1334.bmp,1,33,42.31,-21.52,17.12,27.5,20.13,4.13,5
1334.bmp,2,56,11.57,-0.03,-3.11,3.11,19.02,7.25,0
1334.bmp,3,81,33.48,-2.81,4.08,4.95,11.86,5.22,10
1335.bmp,0,13,47.24,-0.39,1.67,1.72,23.86,1.62,8
1335.bmp,1,32,43.36,37.48,41.75,56.11,38.39,2.66,2
1335.bmp,2,49,42.42,37.34,39.92,54.66,37.51,3.12,2
1335.bmp,3,77,38.98,-0.48,26.05,26.05,3.35,3.24,10
1336.bmp,0,8,68.13,30.36,73.77,79.77,26.74,0.75,3
1336.bmp,1,29,66.88,28.72,72.05,77.56,24.38,0.98,3
1336.bmp,2,49,77.46,6.42,79.23,79.49,28.1,2.12,4
1337.bmp,0,13,41.56,3.72,23.52,23.81,6.71,6.35,10
1337.bmp,1,36,53.97,26.98,55.77,61.95,35.02,5.16,3
1337.bmp,2,55,8.27,8.61,10.44,13.53,20.52,3.71,0
1337.bmp,3,77,37.64,16.03,29.48,33.56,12.99,3.1,1
1338.bmp,0,11,59.08,6.24,50.56,50.95,4.44,5.74,10
1338.bmp,1,41,61.11,5.03,49.45,49.7,4.79,12.01,10
1338.bmp,2,62,40.06,11.76,-13.77,18.1,61.23,1.38,7
1338.bmp,3,85,75.96,1.88,74.17,74.2,27.79,2.37,4
1339.bmp,0,29,47.41,-0.92,6.97,7.03,27.78,2.68,8
1339.bmp,1,48,5.18,3.36,6.14,7,28.24,0.66,0
1339.bmp,2,69,38.7,4.3,42.22,42.44,7.87,2.71,10
1340.bmp,0,12,40.91,6.36,31.44,32.07,9.47,2.03,10
1340.bmp,1,40,55.35,19.31,61.05,64.03,22.96,3.99,3
1340.bmp,2,61,58.07,21.72,64.22,67.79,26.88,3.31,3
1340.bmp,3,81,62.6,27.05,67.78,72.98,32.68,2,3
1341.bmp,0,17,22.36,19.47,29.56,35.4,14.89,3.56,1
1341.bmp,1,39,21.93,-8.5,22.61,24.15,13.98,3.79,5
1341.bmp,2,58,34.67,27.28,44.92,52.56,29.61,1.86,3
1341.bmp,3,77,34.9,6.61,30.89,31.59,5.92,3.65,10
1342.bmp,0,41,61.44,-1.83,63.82,63.85,24.4,3.21,4
1342.bmp,1,68,37.29,-18.06,26.7,32.24,27.96,2.71,5
1342.bmp,2,92,35.71,7.4,3.39,8.14,37.38,2.44,7
1343.bmp,0,10,47.95,-2.45,10.13,10.42,1.56,6.92,10
1343.bmp,1,36,48.57,20.3,44.65,49.05,39.87,2.36,3
1343.bmp,2,54,61.12,-1.83,-4.76,5.1,16.41,1.77,8
1343.bmp,3,77,36.58,6.05,-39.33,39.79,51.62,1.16,6
1344.bmp,0,14,54.1,4.12,42.89,43.09,6.49,3.97,10
1344.bmp,1,52,37.12,42.62,47.95,64.16,35.61,3.11,2
1344.bmp,2,68,25.86,5.09,-17.97,18.68,56.1,4.08,6
1344.bmp,3,83,38.77,11.95,41,42.71,4.61,2.35,1
1345.bmp,0,14,68.44,-3.77,17.78,18.18,1.05,4.11,10
1345.bmp,1,37,46.69,35.88,26.06,44.34,40.71,1.34,2
1345.bmp,2,55,83.03,-14.39,63.11,64.73,47.58,1.83,4
1345.bmp,3,75,47.46,45.28,25.36,51.9,49.78,1.94,2
1346.bmp,0,14,69.1,-5.19,26.19,26.7,8.35,3.3,10
1346.bmp,1,38,45.46,41.59,27.66,49.95,46,1.84,2
1346.bmp,2,56,38.71,14.05,24.56,28.3,18.62,1.28,1
1346.bmp,3,74,48.74,-29.05,16.14,33.23,25.73,3.92,5
1347.bmp,0,16,78.53,-1.38,26.48,26.52,7.81,8.63,10
1347.bmp,1,39,51.31,39.12,30.19,49.42,41.57,5.36,2
1347.bmp,2,57,50.47,41.28,33.38,53.09,44.6,4.12,2
1347.bmp,3,76,50.62,8.64,31.17,32.35,15.67,6.12,1
1348.bmp,0,9,81.3,2.84,35.45,35.57,2.23,9.49,10
1348.bmp,1,36,45.54,13.58,36.62,39.05,8.75,4.97,1
1348.bmp,2,57,56.09,12.35,-25.06,27.94,60.42,5.2,7
1348.bmp,3,75,60.48,38.32,36.42,52.87,33.35,3.77,2
1349.bmp,0,15,64.25,-2.2,-4.27,4.8,27.78,6.59,8
1349.bmp,1,33,54.96,42.91,35.49,55.68,40.15,3.84,2
1349.bmp,2,52,55.8,33.21,33.2,46.96,30.24,9.53,2
1349.bmp,3,79,67.97,-1.32,23.31,23.35,6.25,6.78,10
1350.bmp,0,10,59.97,-7.05,24.22,25.22,7.5,3.43,10
1350.bmp,1,34,40.52,3.86,14.56,15.07,7.6,2.84,1
1350.bmp,2,55,62.63,-15.25,13.02,20.05,16.9,4.35,5
1350.bmp,3,72,52.93,9.95,-25.62,27.49,47.66,3.13,7
1351.bmp,0,16,62.83,-2.3,25.91,26.02,7.1,11.02,10
1351.bmp,1,37,65.66,18.63,51,54.3,38.01,4.33,3
1351.bmp,2,56,22.94,-8.27,19.07,20.79,6.64,11.09,0
1351.bmp,3,76,47.59,11.45,33.44,35.34,19.6,8.43,1
1352.bmp,0,12,41.15,14.47,31.59,34.75,9.15,3.96,1
1352.bmp,1,34,17.85,-1.04,20.56,20.59,10.76,18.64,0
1352.bmp,2,54,53.49,45.88,32.26,56.08,40.31,3.59,2
1352.bmp,3,76,66.4,1.98,27.73,27.8,3.92,9.43,10
1353.bmp,0,11,52.86,0.27,17.22,17.22,1.92,8.03,10
1353.bmp,1,32,59.11,26.45,45.75,52.85,39.88,5.95,3
1353.bmp,2,54,99.3,-0.59,2.14,2.22,13.26,7.06,9
1353.bmp,3,73,62.18,20.72,38.7,43.9,30.79,4.3,3
1354.bmp,0,10,38.75,-4.9,29.13,29.54,11.72,9.49,10
1354.bmp,1,35,41.62,39.16,30.91,49.89,33.7,7.83,2
1354.bmp,2,55,9.85,-3.28,12.39,12.82,15.55,8.92,0
1354.bmp,3,76,31.88,18.66,31.16,36.32,14.13,3.61,1
1355.bmp,0,9,37.89,10.58,24.53,26.71,6.56,5.54,1
1355.bmp,1,31,22.59,-6.14,15.17,16.37,14.07,8.29,0
1355.bmp,2,52,51.02,35.73,25.11,43.67,31.7,8.57,2
1355.bmp,3,72,67,0.86,23.31,23.33,3.54,4.98,10
1356.bmp,0,12,41,21.92,-0.88,21.94,44.44,4.47,2
1356.bmp,1,31,34.41,9.38,2.88,9.81,44.72,2.16,2
1356.bmp,2,46,17.95,-5.8,6.06,8.39,48.56,5.21,0
1356.bmp,3,62,29.13,-7.17,3.91,8.17,46.76,14.41,0
1356.bmp,4,80,30.73,-2.88,2.81,4.02,44.85,5.73,1
1357.bmp,0,13,67.51,-3.45,20.39,20.68,1.22,8.45,10
1357.bmp,1,40,63.95,26.02,41.5,48.98,37.44,4.19,3
1357.bmp,2,59,50.19,11.52,17.25,20.74,15.96,10.51,1
1357.bmp,3,77,57.7,-31.62,15.38,35.16,27.65,3.49,5
1358.bmp,0,13,61.84,-21.15,24.92,32.69,26.92,3.37,5
1358.bmp,1,33,42.76,10.93,38.01,39.55,7.94,3.88,1
1358.bmp,2,52,25.88,-5.52,31.48,31.97,10.09,15.69,0
1358.bmp,3,75,73.71,1.71,38.38,38.42,5.5,15.04,10
1359.bmp,0,42,67.5,-15.5,49.86,52.21,40.01,3.53,4
1359.bmp,1,65,53.44,-17.89,9.38,20.2,16.2,1.26,5
1359.bmp,2,86,54.2,7.91,-24.45,25.7,37.96,3.09,7
1360.bmp,0,12,39.83,4.55,11.36,12.24,7.83,4.66,1
1360.bmp,1,35,48.94,-18.94,7.11,20.23,16.04,1.12,5
1360.bmp,2,54,54.99,18,21.64,28.15,24.21,1.63,3
1361.bmp,0,13,56.43,-1.97,22.72,22.8,6.39,2.87,10
1361.bmp,1,38,63.71,36.2,58.31,68.64,56.8,1.28,3
1361.bmp,2,58,84.45,-0.91,-6.31,6.38,22.67,0.46,8
1361.bmp,3,77,51.57,13.56,-55.92,57.54,73.92,1.76,6
1362.bmp,0,15,39.68,12.52,23.31,26.46,12.73,2.91,1
1362.bmp,1,33,65.1,-3.11,-5.14,6.01,38.42,2.49,8
1362.bmp,2,52,41.65,10.09,38.62,39.92,8.65,3.23,1
1363.bmp,0,21,59.02,-29.44,28.55,41.01,31.32,1.51,5
1363.bmp,1,39,48.51,-3.42,-24.38,24.61,48.88,4.73,6
1363.bmp,2,59,42.3,6.09,11.88,13.35,13.17,6.06,1
1363.bmp,3,86,55.87,-5.38,17.95,18.74,9.39,4.57,10
1364.bmp,0,11,59.83,-4.09,28.45,28.74,8.33,4.89,10
1364.bmp,1,46,46.8,22.58,28.16,36.1,21.57,5.15,2
1364.bmp,2,60,46.92,-2.49,-17.27,17.45,40.02,2.87,6
1364.bmp,3,73,51.54,1.66,20.77,20.83,1.76,2.32,1
1365.bmp,0,17,56.83,-3.67,-1.05,3.82,25.75,1.32,8
1365.bmp,1,34,49.19,42.09,43,60.17,42.44,3.15,2
1365.bmp,2,50,51.48,37.17,41.53,55.74,37.41,4.47,2
1365.bmp,3,75,56.91,-4.97,27.83,28.27,10.41,6.07,10
1366.bmp,0,11,49.34,14.14,-32.79,35.71,57.53,1.41,7
1366.bmp,1,27,55.15,-21.2,13.13,24.93,25.89,2.48,5
1366.bmp,2,46,40.13,5.77,13.99,15.14,10.11,7,1
1366.bmp,3,80,45.83,-3.32,27.29,27.49,6.92,11.84,10
1367.bmp,0,20,61.45,-3.38,27.98,28.19,5.9,8.65,10
1367.bmp,1,50,45.15,5.45,34.11,34.54,5.08,8.36,1
1367.bmp,2,66,51.08,33.19,31.02,45.42,31.18,2.81,2
1368.bmp,0,13,99.06,-0.81,-0.11,0.82,14.86,0.97,9
1368.bmp,1,32,33.67,8.62,25.42,26.85,13.39,5.61,1
1368.bmp,2,53,42.86,34.38,26.19,43.21,35.65,8.99,2
1368.bmp,3,69,53.91,-1.47,18.19,18.25,4.09,8.99,10
1369.bmp,0,16,63.05,12.14,-22.52,25.58,53.72,1.83,7
1369.bmp,1,33,47.22,-22.2,10.87,24.72,29.36,5.19,5
1369.bmp,2,56,46.92,38.84,33.31,51.17,38.81,1.94,2
1369.bmp,3,78,56.69,-6.15,21.99,22.84,10.1,8.38,10
1370.bmp,0,15,70.91,25.6,60.09,65.32,35.44,2.07,3
1370.bmp,1,35,68.07,22.2,53.05,57.51,27.82,3.55,3
1370.bmp,2,54,76.5,-5.82,55.34,55.64,25.48,4.97,4
1370.bmp,3,78,51.02,-1.89,24.27,24.34,9.72,3.19,10
1371.bmp,0,12,66.47,-3.64,24.45,24.72,5.6,4.33,10
1371.bmp,1,38,81.58,-12.32,53.84,55.23,33.69,4.74,4
1371.bmp,2,57,24.28,-4.34,11.84,12.61,12.98,5.26,0
1371.bmp,3,76,46.43,33.46,27.41,43.26,31.9,3.69,2
1372.bmp,0,8,51.79,14.83,-35.85,38.8,68.57,2.68,7
1372.bmp,1,27,63.66,-30.11,38.43,48.82,33.87,2.28,5
1372.bmp,2,46,16.13,-6.38,14.66,15.98,19.5,9.87,0
1372.bmp,3,72,73.2,-4.11,31.38,31.65,7.21,5.73,10
1373.bmp,0,18,55.79,25.95,36.45,44.74,38.07,2.28,3
1373.bmp,1,39,59.49,14.02,31.42,34.41,26.03,2.41,3
1373.bmp,2,56,70.52,-6.45,33.3,33.92,21.8,2.86,4
1373.bmp,3,76,49.62,-6.1,21.17,22.03,9.88,7.38,10
1374.bmp,0,20,65.44,-2.94,27.59,27.75,7.74,3.28,10
1374.bmp,1,46,73.82,28.58,59.94,66.4,37.58,0.85,3
1374.bmp,2,63,21.37,-10.69,17.48,20.49,20.25,3.4,0
1374.bmp,3,80,52.51,41.16,37.09,55.41,38.09,6.15,2
1375.bmp,0,26,65.8,-5.33,-0.66,5.37,23.71,1.57,8
1375.bmp,1,47,18.41,-3.45,7.45,8.21,15.45,0.79,0
1375.bmp,2,66,68.21,-7.45,28.36,29.32,7.42,2.2,10
1376.bmp,0,11,61.12,1.2,37.52,37.54,4.5,11.63,10
1376.bmp,1,37,76.8,17.7,52.79,55.68,21.97,5.55,3
1376.bmp,2,57,75.22,21.88,56.39,60.49,27.36,1.93,3
1376.bmp,3,75,77.73,20.2,59.86,63.18,29.25,0.74,3
1377.bmp,0,19,50.57,7.66,19.33,20.79,15.34,1.34,3
1377.bmp,1,34,25.68,-3.02,2.77,4.1,4.37,12.83,0
1377.bmp,2,48,56.15,-5.68,25.03,25.67,19.43,2.3,4
1377.bmp,3,91,58.86,-4.62,12.07,12.92,7.1,4.11,10
1378.bmp,0,63,61,2.81,-6.77,7.33,10.33,1.73,9
1378.bmp,1,82,49.87,4.27,11.7,12.46,8.95,0.99,3
1379.bmp,0,7,57.92,-2.05,5.31,5.69,3.29,3.86,10
1379.bmp,1,54,44.38,2.53,7.05,7.49,3.65,1.48,1
1379.bmp,2,70,62.33,1.94,-3.55,4.04,7.42,2.69,9
1379.bmp,3,86,49.13,4.62,12.64,13.46,9.61,1.14,3
1381.bmp,0,21,54.27,38.83,18,42.8,39.41,7.29,2
1381.bmp,1,39,46.19,14.62,2.97,14.92,13.64,11.45,0
1382.bmp,0,25,76.15,22.67,43.03,48.64,33.43,1.1,4
1382.bmp,1,46,45.14,32.67,-4.27,32.95,15.33,2.49,7
1382.bmp,2,68,51.59,43.2,15.72,45.97,17.56,4.46,2
1382.bmp,3,91,48.44,24.81,11.8,27.47,2.69,4.87,10
1383.bmp,0,16,48.5,37.59,21.08,43.1,17.54,2.77,2
1383.bmp,1,38,39.26,13.39,12.22,18.13,13.07,7.31,0
1383.bmp,2,61,64.64,52.25,35.19,62.99,37.87,1.88,3
1383.bmp,3,84,65.71,23.36,22.06,32.13,14.18,6.02,10
1384.bmp,0,15,45.32,41.41,23.63,47.68,18.8,2.84,2
1384.bmp,1,35,32.34,12.08,18.31,21.94,14.03,10.93,0
1384.bmp,3,84,50.54,16.17,20.75,26.31,11.52,6.82,10
1385.bmp,0,21,59.86,33.8,21.66,40.14,25.35,13.37,1
1385.bmp,1,45,45.63,18.8,19.3,26.94,10.88,11.57,0
1385.bmp,2,65,64.62,55.11,21.27,59.07,45.87,3.39,2
1385.bmp,3,96,97.55,0.02,9.48,9.48,10.56,5.63,10
1386.bmp,0,18,48.75,7.46,30.93,31.82,22.18,1.2,3
1386.bmp,1,28,57.57,-0.38,1.08,1.14,9.27,2.93,9
1386.bmp,2,42,48.15,-0.3,12.81,12.82,2.52,4.58,1
1386.bmp,3,77,44.82,-2.81,12.84,13.14,3.21,3.34,10
1387.bmp,0,16,52.46,9.16,25.42,27.02,19.94,2.69,3
1387.bmp,1,28,68.24,1.41,-2.95,3.27,11.35,2.42,9
1387.bmp,2,41,44.5,-2.84,12.78,13.09,5.02,2.09,1
1387.bmp,3,80,55.98,-4.88,14.83,15.61,7.78,4.34,10
1388.bmp,0,16,56.41,10.69,23.66,25.96,17.16,0.83,3
1388.bmp,1,30,72.63,2.12,-6.19,6.54,15.73,2.92,9
1388.bmp,2,40,48.46,3.39,14.05,14.45,5.14,3.36,1
1388.bmp,3,79,58.03,-5.36,18.06,18.84,10.66,2.88,10
1389.bmp,0,16,52.44,6.31,29.8,30.46,21.6,1.61,3
1389.bmp,1,30,66.25,-1.27,0.66,1.43,9.09,3.2,9
1389.bmp,2,79,55.22,-4.98,13.66,14.54,5.12,4.52,10
1390.bmp,0,18,55,8.94,26.52,27.98,18.19,2.13,3
1390.bmp,1,33,70.62,0.08,-3.14,3.14,14.48,1.71,9
1390.bmp,2,45,47.88,2.3,14.34,14.53,4.51,2.14,1
1390.bmp,3,85,60.45,-4.03,16.66,17.14,6.14,3.29,10
1391.bmp,0,16,54.92,-7.34,21.34,22.57,18.04,5.8,10
1391.bmp,1,34,34.93,21.14,20.83,29.68,28.65,2.02,2
1391.bmp,2,50,41.03,8.72,-3.42,9.37,13.17,2.19,7
1391.bmp,3,70,62.66,-9.69,40.05,41.2,36.76,2.48,4
1392.bmp,0,15,49.05,-7.12,14.23,15.92,7.42,6.4,10
1392.bmp,1,37,54.87,19.56,45.56,49.58,42.91,2.51,3
1392.bmp,2,58,50.85,16.12,38.86,42.07,35.39,1.78,3
1392.bmp,3,73,58.84,16.91,44.59,47.69,40.76,1.93,3
1393.bmp,0,12,58.44,-4.25,3.22,5.33,5.34,8.46,10
1393.bmp,1,38,60.11,23.97,41.23,47.69,47.69,0.89,3
1393.bmp,2,58,54.14,18.75,42.39,46.35,46.35,2.48,3
1393.bmp,3,74,59.3,21.7,42,47.28,47.27,1.1,3
1394.bmp,0,16,56.62,-5.84,17.5,18.45,15.73,10.43,10
1394.bmp,1,32,35.52,26.88,20.09,33.56,34.3,7.29,2
1394.bmp,2,49,42.23,12.66,-12.83,18.03,21.22,5.63,7
1394.bmp,3,69,66.82,-12.91,46.61,48.36,45.68,2.52,4
1395.bmp,0,8,30.3,3.8,5.12,6.38,3.51,3.36,1
1395.bmp,1,44,40.12,6.59,14.95,16.34,10.94,3.68,3
